[['Marino 2nd Floor', '16', '11/02/2022 07:28 AM'], ['Marino Gym', '1', '11/02/2022 07:28 AM'], ['Marino 3rd Floor Weights', '27', '11/02/2022 07:28 AM'], ['Marino 3rd Floor Cardio', '15', '11/02/2022 07:28 AM'], ['Marino Track', '3', '11/02/2022 07:28 AM'], ['Squashbusters', '21', '11/02/2022 07:29 AM']]
[['Marino 2nd Floor', '18', '11/02/2022 08:39 AM'], ['Marino Gym', '0', '11/02/2022 08:39 AM'], ['Marino 3rd Floor Weights', '25', '11/02/2022 08:52 AM'], ['Marino 3rd Floor Cardio', '9', '11/02/2022 08:52 AM'], ['Marino Track', '5', '11/02/2022 08:52 AM'], ['Squashbusters', '18', '11/02/2022 08:31 AM']]
[['Marino 2nd Floor', '22', '11/02/2022 09:28 AM'], ['Marino Gym', '6', '11/02/2022 09:28 AM'], ['Marino 3rd Floor Weights', '35', '11/02/2022 09:54 AM'], ['Marino 3rd Floor Cardio', '10', '11/02/2022 09:54 AM'], ['Marino Track', '5', '11/02/2022 09:54 AM'], ['Squashbusters', '15', '11/02/2022 09:31 AM']]
[['Marino 2nd Floor', '25', '11/02/2022 10:53 AM'], ['Marino Gym', '6', '11/02/2022 10:53 AM'], ['Marino 3rd Floor Weights', '38', '11/02/2022 10:58 AM'], ['Marino 3rd Floor Cardio', '17', '11/02/2022 10:58 AM'], ['Marino Track', '4', '11/02/2022 10:58 AM'], ['Squashbusters', '34', '11/02/2022 10:57 AM']]
[['Marino 2nd Floor', '27', '11/02/2022 11:50 AM'], ['Marino Gym', '5', '11/02/2022 11:50 AM'], ['Marino 3rd Floor Weights', '31', '11/02/2022 11:31 AM'], ['Marino 3rd Floor Cardio', '22', '11/02/2022 11:31 AM'], ['Marino Track', '3', '11/02/2022 11:31 AM'], ['Squashbusters', '26', '11/02/2022 11:56 AM']]
[['Marino 2nd Floor', '23', '11/02/2022 12:51 PM'], ['Marino Gym', '4', '11/02/2022 12:51 PM'], ['Marino 3rd Floor Weights', '41', '11/02/2022 12:57 PM'], ['Marino 3rd Floor Cardio', '30', '11/02/2022 12:57 PM'], ['Marino Track', '3', '11/02/2022 12:57 PM'], ['Squashbusters', '38', '11/02/2022 12:42 PM']]
[['Marino 2nd Floor', '20', '11/01/2022 11:07 PM'], ['Marino Gym', '25', '11/01/2022 11:07 PM'], ['Marino 3rd Floor Weights', '39', '11/02/2022 01:42 PM'], ['Marino 3rd Floor Cardio', '20', '11/02/2022 01:42 PM'], ['Marino Track', '6', '11/02/2022 01:42 PM'], ['Squashbusters', '17', '11/02/2022 01:08 PM']]
[['Marino 2nd Floor', '37', '11/02/2022 02:53 PM'], ['Marino Gym', '37', '11/02/2022 02:53 PM'], ['Marino 3rd Floor Weights', '40', '11/02/2022 02:31 PM'], ['Marino 3rd Floor Cardio', '21', '11/02/2022 02:31 PM'], ['Marino Track', '6', '11/02/2022 02:31 PM'], ['Squashbusters', '17', '11/02/2022 01:08 PM']]
[['Marino 2nd Floor', '43', '11/02/2022 03:24 PM'], ['Marino Gym', '60', '11/02/2022 03:24 PM'], ['Marino 3rd Floor Weights', '39', '11/02/2022 03:33 PM'], ['Marino 3rd Floor Cardio', '20', '11/02/2022 03:33 PM'], ['Marino Track', '6', '11/02/2022 03:33 PM'], ['Squashbusters', '33', '11/02/2022 03:32 PM']]
[['Marino 2nd Floor', '60', '11/02/2022 04:58 PM'], ['Marino Gym', '51', '11/02/2022 04:58 PM'], ['Marino 3rd Floor Weights', '53', '11/02/2022 04:37 PM'], ['Marino 3rd Floor Cardio', '31', '11/02/2022 04:37 PM'], ['Marino Track', '6', '11/02/2022 04:37 PM'], ['Squashbusters', '26', '11/02/2022 04:30 PM']]
